ERT 4 Texel_Cocksdorp_clean.bin
         0.50
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
2702
 2
0
4  0.00  0.00 0.50  0.00 1.00  0.00 1.50  0.00 95.45 
4  0.00  0.00 0.50  0.00 1.50  0.00 2.00  0.00 70.50 
4  0.00  0.00 0.50  0.00 2.00  0.00 2.50  0.00 46.22 
4  0.00  0.00 0.50  0.00 2.50  0.00 3.00  0.00 33.46 
4  0.00  0.00 0.50  0.00 3.00  0.00 3.50  0.00 17.96 
4  0.00  0.00 0.50  0.00 3.50  0.00 4.00  0.00 11.46 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 9.82 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 3.83 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 2.37 
4  0.00  0.00 1.00  0.00 7.00  0.00 4.50  0.00 4.48 
4  0.00  0.00 1.00  0.00 4.50  0.00 5.50  0.00 5.67 
4  0.00  0.00 1.00  0.00 5.50  0.00 6.50  0.00 3.02 
4  0.00  0.00 1.00  0.00 6.50  0.00 7.50  0.00 2.19 
4  0.00  0.00 1.50  0.00 7.00  0.00 8.50  0.00 1.86 
4  0.00  0.00 1.50  0.00 8.50  0.00 10.00  0.00 1.43 
4  0.00  0.00 1.50  0.00 10.00  0.00 7.50  0.00 1.50 
4  0.00  0.00 1.50  0.00 7.50  0.00 9.00  0.00 1.60 
4  0.00  0.00 1.50  0.00 9.00  0.00 10.50  0.00 1.25 
4  0.00  0.00 1.50  0.00 10.50  0.00 8.00  0.00 1.42 
4  0.00  0.00 1.50  0.00 8.00  0.00 9.50  0.00 1.52 
4  0.00  0.00 1.50  0.00 9.50  0.00 11.00  0.00 1.20 
4  0.00  0.00 2.00  0.00 10.00  0.00 12.00  0.00 1.13 
4  0.00  0.00 2.00  0.00 12.00  0.00 14.00  0.00 0.83 
4  0.00  0.00 2.00  0.00 14.00  0.00 10.50  0.00 1.00 
4  0.00  0.00 2.00  0.00 10.50  0.00 12.50  0.00 1.05 
4  0.00  0.00 2.00  0.00 12.50  0.00 14.50  0.00 0.88 
4  0.00  0.00 2.00  0.00 14.50  0.00 11.00  0.00 0.93 
4  0.00  0.00 2.00  0.00 11.50  0.00 13.50  0.00 0.97 
4  0.00  0.00 2.50  0.00 15.50  0.00 18.00  0.00 1.23 
4  0.00  0.00 2.50  0.00 18.00  0.00 13.50  0.00 0.95 
4  0.00  0.00 2.50  0.00 13.50  0.00 16.00  0.00 0.75 
4  0.00  0.00 2.50  0.00 16.00  0.00 14.00  0.00 0.76 
4  0.00  0.00 2.50  0.00 14.00  0.00 16.50  0.00 0.87 
4  0.00  0.00 2.50  0.00 16.50  0.00 14.50  0.00 0.90 
4  0.00  0.00 2.50  0.00 14.50  0.00 17.00  0.00 0.86 
4  0.00  0.00 2.50  0.00 17.00  0.00 15.00  0.00 0.84 
4  0.00  0.00 2.50  0.00 15.00  0.00 17.50  0.00 0.62 
4  0.00  0.00 3.00  0.00 16.00  0.00 19.00  0.00 1.08 
4  0.00  0.00 3.00  0.00 19.00  0.00 16.50  0.00 1.00 
4  0.00  0.00 3.00  0.00 16.50  0.00 19.50  0.00 1.07 
4  0.00  0.00 3.00  0.00 19.50  0.00 17.00  0.00 1.16 
4  0.00  0.00 3.00  0.00 17.00  0.00 20.00  0.00 1.04 
4  0.00  0.00 3.00  0.00 20.00  0.00 17.50  0.00 1.48 
4  0.00  0.00 3.00  0.00 17.50  0.00 20.50  0.00 1.40 
4  0.00  0.00 3.00  0.00 20.50  0.00 18.00  0.00 0.92 
4  0.00  0.00 3.00  0.00 18.00  0.00 21.00  0.00 0.96 
4  0.00  0.00 3.00  0.00 18.50  0.00 21.50  0.00 0.81 
4  0.00  0.00 3.50  0.00 19.00  0.00 22.50  0.00 0.87 
4  0.00  0.00 3.50  0.00 22.50  0.00 19.50  0.00 0.84 
4  0.00  0.00 3.50  0.00 19.50  0.00 23.00  0.00 0.87 
4  0.00  0.00 3.50  0.00 23.00  0.00 20.00  0.00 0.89 
4  0.00  0.00 3.50  0.00 20.00  0.00 23.50  0.00 0.86 
4  0.00  0.00 3.50  0.00 23.50  0.00 20.50  0.00 0.89 
4  0.00  0.00 3.50  0.00 20.50  0.00 24.00  0.00 0.91 
4  0.00  0.00 3.50  0.00 24.00  0.00 21.00  0.00 0.87 
4  0.00  0.00 3.50  0.00 21.00  0.00 24.50  0.00 0.90 
4  0.00  0.00 3.50  0.00 21.50  0.00 25.00  0.00 0.87 
4  0.00  0.00 4.00  0.00 22.00  0.00 26.00  0.00 0.90 
4  0.00  0.00 4.00  0.00 26.00  0.00 22.50  0.00 0.88 
4  0.00  0.00 4.00  0.00 22.50  0.00 26.50  0.00 0.90 
4  0.00  0.00 4.00  0.00 26.50  0.00 23.00  0.00 0.92 
4  0.00  0.00 4.00  0.00 23.00  0.00 27.00  0.00 0.98 
